microtrait_hmm-name	microtrait_hmm-dbxref_kegg	microtrait_hmm-dbxref_ec	microtrait_hmm-dbxref_TC	microtrait_hmm-description	microtrait_hmm-notes	microtrait_hmm-dbxref_kegg_score	microtrait_hmm-dbxref_kegg_fscore	microtrait_hmm-dbxref_kegg_tpr	microtrait_hmm-dbxref_kegg_tnr	microtrait_hmm-dbxref_kegg_fpr	microtrait_hmm-dbxref_kegg_fnr	microtrait_hmm-dbxref_kegg_accuracy
petF	K02639	NA	NA	ferredoxin	NA	106.5	0.989967	0.98013	1	0	0.01987	0.999999
petH	K02641	1.18.1.2	NA	ferredoxin--NADP+ reductase [EC:1.18.1.2]	NA	305.9	0.949	0.90323	1	0	0.09677	1
petJ	K08906	NA	NA	cytochrome c6	NA	106.3	0.93	0.88119	1	3.78e-07	0.11881	1
pufL	K08928	NA	NA	photosynthetic reaction center L subunit	NA	341.7	1	1	1	0	0	1
pufM	K08929	NA	NA	photosynthetic reaction center M subunit	NA	399.6	1	1	1	0	0	1
puhA	K13991	NA	NA	photosynthetic reaction center H subunit	NA	74.5	1	1	1	0	0	1
pufX	K13994	NA	NA	photosynthetic reaction center PufX protein	NA	103.7	1	1	1	0	0	1
pufC	K13992	NA	NA	photosynthetic reaction center cytochrome c subunit	NA	48.4	1	1	1	0	0	1
pufA	K08926	NA	NA	light-harvesting complex 1 alpha chain	NA	58.2	0.966	0.93333	1	0	0.06667	1
pufB	K08927	NA	NA	light-harvesting complex 1 beta chain	NA	59.8	0.984	0.96774	1	0	0.03226	1
pucA	K08930	NA	NA	light-harvesting protein B-800-850 alpha chain	NA	60.5	0.966	0.9474	1	1.26e-07	0.0526	1
pucB	K08939	NA	NA	light-harvesting protein B-800-850 beta chain	NA	78.7	1	1	1	0	0	1
pscA	K08940	NA	NA	photosystem P840 reaction center large subunit	NA	425.5	1	1	1	0	0	1
pscB	K08941	NA	NA	photosystem P840 reaction center iron-sulfur protein	NA	178.7	1	1	1	0	0	1
pscC	K08942	NA	NA	photosystem P840 reaction center cytochrome c551	NA	144.7	1	1	1	0	0	1
pscD	K08943	NA	NA	photosystem P840 reaction center protein PscD	NA	188.6	1	1	1	0	0	1
fmoA	K08944	NA	NA	bacteriochlorophyll A protein	NA	555.9	1	1	1	0	0	1
csmA	K08945	NA	NA	chlorosome envelope protein A	NA	121.3	1	1	1	0	0	1
csmB	K08946	NA	NA	chlorosome envelope protein B	NA	70.9	1	1	1	0	0	1
csmC	K08947	NA	NA	chlorosome envelope protein C	NA	194.7	1	1	1	0	0	1
csmD	K08948	NA	NA	chlorosome envelope protein D	NA	158.7	1	1	1	0	0	1
csmE	K08949	NA	NA	chlorosome envelope protein E	NA	151.6	1	1	1	0	0	1
csmF	K08950	NA	NA	chlorosome envelope protein F	NA	82.7	1	1	1	0	0	1
csmH	K08951	NA	NA	chlorosome envelope protein H	NA	164.6	1	1	1	0	0	1
csmI	K08952	NA	NA	chlorosome envelope protein I	NA	195.3	1	1	1	0	0	1
csmJ	K08953	NA	NA	chlorosome envelope protein J	NA	341.8	1	1	1	0	0	1
csmX	K08954	NA	NA	chlorosome envelope protein X	NA	281	1	1	1	0	0	1
apcA	K02092	NA	NA	allophycocyanin alpha subunit	NA	284.7	1	1	1	0	0	1
apcB	K02093	NA	NA	allophycocyanin beta subunit	NA	236.1	0.995	0.9894	1	0	0.0106	1
apcC	K02094	NA	NA	phycobilisome core linker protein	NA	132.4	1	1	1	0	0	1
apcD	K02095	NA	NA	allophycocyanin-B	NA	224.4	0.979	0.9596	1	0	0.0404	1
apcE	K02096	NA	NA	phycobilisome core-membrane linker protein	NA	747.9	1	1	1	0	0	1
apcF	K02097	NA	NA	phycobilisome core component	NA	253.5	1	1	1	0	0	1
cpcA	K02284	NA	NA	phycocyanin alpha chain	NA	264	0.991	0.98214	1	0	0.01786	1
cpcB	K02285	NA	NA	phycocyanin beta chain	NA	284.3	0.991	0.99107	1	1.26e-07	0.00893	1
cpcC	K02286	NA	NA	phycocyanin-associated rod linker protein	NA	369.6	0.67808	0.8319	1	9.32e-06	0.1681	1
cpcD	K02287	NA	NA	phycocyanin-associated, rod	NA	118.9	0.741	0.6667	1	1.26e-06	0.3333	1
cpcE	K02288	4.4.1.32	NA	phycocyanobilin lyase subunit alpha [EC:4.4.1.32]	NA	263.2	1	1	1	0	0	1
cpcF	K02289	4.4.1.32	NA	phycocyanobilin lyase subunit beta [EC:4.4.1.32]	NA	139.5	1	1	1	0	0	1
rpcG	K20713	4.4.1.33	NA	R-phycocyanin alpha-cysteine-84 phycourobilin lyase/isomerase [EC:4.4.1.33]	NA	874.2	1	1	1	0	0	1
cpcG	K02290	NA	NA	phycobilisome rod-core linker protein	NA	270.7	0.833	0.97283	1	8.44e-06	0.02717	1
pecA	K02628	NA	NA	phycoerythrocyanin alpha chain	NA	320.8	1	1	1	0	0	1
pecB	K02629	NA	NA	phycoerythrocyanin beta chain	NA	348.3	1	1	1	0	0	1
pecC	K02630	NA	NA	phycoerythrocyanin-associated rod linker protein	NA	493.7	0.957	1	1	1.26e-07	0	1
pecE	K02631	4.4.1.31	NA	phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE [EC:4.4.1.31]	NA	445.7	1	1	1	0	0	1
pecF	K02632	4.4.1.31	NA	phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecF [EC:4.4.1.31]	NA	221.6	1	1	1	0	0	1
cpeA	K05376	NA	NA	phycoerythrin alpha chain	NA	253	1	1	1	0	0	1
cpeB	K05377	NA	NA	phycoerythrin beta chain	NA	229	0.983	0.9661	1	0	0.0339	1
cpeC	K05378	NA	NA	phycoerythrin-associated linker protein	NA	337.2	0.456	0.7069	1	1.02e-05	0.2931	1
cpeD	K05379	NA	NA	phycoerythrin-associated linker protein	NA	524.8	0.556	0.4	1	1.26e-07	0.6	1
cpeE	K05380	NA	NA	phycoerythrin-associated linker protein	NA	327.6	0.325	0.9286	1	6.67e-06	0.0714	1
cpeR	K05381	NA	NA	phycoerythrin-associated linker protein	NA	126.4	1	1	1	0	0	1
cpeS	K05382	NA	NA	phycoerythrin-associated linker protein	NA	153	1	1	1	0	0	1
cpeT	K05383	NA	NA	CpeT protein	NA	61.8	1	1	1	0	0	1
cpeU	K05384	NA	NA	bilin biosynthesis protein	NA	331.4	1	1	1	0	0	1
cpeY	K05385	NA	NA	bilin biosynthesis protein	NA	223.5	1	1	1	0	0	1
cpeZ	K05386	NA	NA	bilin biosynthesis protein	NA	208.3	0.974	0.9487	1	0	0.0513	1
pcbA	K08918	NA	NA	chlorophyll a/b binding light-harvesting protein PcbA	NA	673.8	0.933	0.875	1	0	0.125	1
pcbB	K08919	NA	NA	chlorophyll a/b binding light-harvesting protein PcbB	NA	746.6	1	1	1	0	0	1
pcbC	K08920	NA	NA	chlorophyll a/b binding light-harvesting protein PcbC	NA	732	1	1	1	0	0	1
pcbD	K08921	NA	NA	chlorophyll a/b binding light-harvesting protein PcbD	NA	646.2	0.846	0.7333	1	0	0.2667	1
pcbE	K08922	NA	NA	chlorophyll a/b binding light-harvesting protein PcbE	NA	791.7	1	1	1	0	0	1
pcbF	K08923	NA	NA	chlorophyll a/b binding light-harvesting protein PcbF	NA	594.9	1	1	1	0	0	1
pcbG	K08924	NA	NA	chlorophyll a/b binding light-harvesting protein PcbG	NA	629.4	0.0645	1	1	3.65e-06	0	1
pcbH	K08925	NA	NA	chlorophyll a/b binding light-harvesting protein PcbH	NA	667.1	1	1	1	0	0	1
bchH	K03403	6.6.1.1	NA	magnesium chelatase subunit H [EC:6.6.1.1]	NA	1048.9	0.99469	0.99645	1	2.52e-07	0.00355	1
bchM	K03428	2.1.1.11	NA	magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]	NA	149.1	1	1	1	0	0	1
bchE	K04034	1.21.98.3	NA	anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3]	NA	295.3	1	1	1	0	0	1
chlE	K04035	1.14.13.81	NA	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]	NA	318.9	1	1	1	0	0	1
bciB	K21231	1.3.7.13	NA	3,8-divinyl protochlorophyllide a 8-vinyl-reductase (ferredoxin) [EC:1.3.7.13]	NA	415.4	0.989	0.9888	1	1.26e-07	0.0112	1
bchJ	K04036	1.-.-.-	NA	divinyl protochlorophyllide a 8-vinyl-reductase [EC:1.-.-.-]	NA	173.6	1	1	1	0	0	1
por	K03737	1.2.7.1;1.2.7.-	NA	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] 	NA	282	0.998847	0.997696	1	0	0.002304	1
chlL	K04037	1.3.7.7	NA	light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7]	NA	399.8	1	1	1	0	0	1
bciC	K21058	3.1.1.100	NA	chlorophyllide a hydrolase [EC:3.1.1.100]	NA	224.6	1	1	1	0	0	1
bchX	K11333	1.3.7.14;1.3.7.15	NA	3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit X [EC:1.3.7.14 1.3.7.15] 	NA	409.1	1	1	1	0	0	1
bchF	K11336	4.2.1.165	NA	3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.165]	NA	168.7	1	1	1	0	0	1
bchV	K13603	4.2.1.169	NA	3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.169]	NA	245.7	1	1	1	0	0	1
bchC	K11337	1.1.1.396	NA	bacteriochlorophyllide a dehydrogenase [EC:1.1.1.396]	NA	249.8	1	1	1	0	0	1
bchU	K13604	2.1.1.333	NA	bacteriochlorophyllide d C-20 methyltransferase [EC:2.1.1.333]	NA	554.2	1	1	1	0	0	1
bchK	K13605	2.5.1.-	NA	bacteriochlorophyll c synthase	NA	535.8	1	1	1	0	0	1
bciD	K21312	1.17.98.2	NA	bacteriochlorophyllide c C-7(1)-hydroxylase [EC:1.17.98.2]	NA	923.2	1	1	1	0	0	1
bchG	K04040	2.5.1.62;2.5.1.133	NA	chlorophyll/bacteriochlorophyll a synthase	NA	257.6	0.984	0.96903	1	0	0.03097	1
bchP	K10960	1.3.1.83;1.3.1.111	NA	geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]	NA	228.8	0.998	0.99519	1	0	0.00481	1
crtB	K02291	2.5.1.32	NA	15-cis-phytoene synthase [EC:2.5.1.32] 	NA	160.7	0.855271	0.888064	1	3.84e-05	0.111936	0.999939
crtI	K10027	1.3.99.26;1.3.99.28;1.3.99.29;1.3.99.31	NA	phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31] 	NA	438.5	0.888309	0.95297	1	2.17e-05	0.04703	0.999973
crtP	K02293	1.3.5.5	NA	15-cis-phytoene desaturase [EC:1.3.5.5] 	NA	528.5	0.957627	0.9187	1	0	0.0813	1
crtQ	K00514	1.3.5.6	NA	zeta-carotene desaturase [EC:1.3.5.6] 	NA	499.4	1	1	1	0	0	1
crtC	K09844	4.2.1.131	NA	carotenoid 1,2-hydratase [EC:4.2.1.131] 	NA	50.9	1	1	1	0	0	1
crtD	K09845	1.3.99.27	NA	1-hydroxycarotenoid 3,4-desaturase [EC:1.3.99.27] 	NA	609.5	1	1	1	0	0	1
crtF	K09846	2.1.1.210	NA	demethylspheroidene O-methyltransferase [EC:2.1.1.210] 	NA	373.8	0.994	0.9877	1	0	0.0123	1
crtA	K09847	1.14.15.9	NA	spheroidene monooxygenase [EC:1.14.15.9] 	NA	320.3	1	1	1	0	0	1
crtY	K22502	5.5.1.19	NA	lycopene beta-cyclase [EC:5.5.1.19]	NA	24.7	0.938	0.88393	1	0	0.116	1
crtL1	K06443	5.5.1.19	NA	lycopene beta-cyclase [EC:5.5.1.19] 	NA	137.4	0.983173	1	1	1.76e-06	0	1
cruA	K14605	5.5.1.19	NA	lycopene cyclase CruA [EC:5.5.1.19] 	NA	509.2	0.988	0.9765	1	0	0.0235	1
crtU	K09879	1.3.99.39;1.3.99.40	NA	carotenoid phi-ring synthase / carotenoid chi-ring synthase [EC:1.3.99.39 1.3.99.40] 	NA	165.6	0.997	0.99479	1	0	0.00521	1
crtM	K10208	2.5.1.96	NA	4,4'-diapophytoene synthase [EC:2.5.1.96] 	NA	420.4	1	1	1	0	0	1
crtN	K10209	1.3.8.2	NA	4,4'-diapophytoene desaturase [EC:1.3.8.2] 	NA	889.5	1	1	1	0	0	1
ggt	K00681	2.3.2.2;3.4.19.13	NA	ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	Threonine peptidases_Family T3: gamma-glutamyltransferase family;T3	39.6	0.974448	0.999791	1	3.15e-05	0.000209	0.999968
pepA_M17	K01255	3.4.11.1	NA	CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]	Metallo peptidases_Family M17: leucyl aminopeptidase family;M17	396.3	0.978309	0.96129	1	2.14e-06	0.03871	0.999977
pepA_M42	K01261	3.4.11.7	NA	pepA; glutamyl aminopeptidase [EC:3.4.11.7]	Metallo peptidases_Family M42: glutamyl aminopeptidase family;M42	419.9	0.986	0.97973	1	2.52e-07	0.02027	1
pepN	K01256	3.4.11.2	NA	pepN; aminopeptidase N [EC:3.4.11.2]	Metallo peptidases_Family M1;M1	34.3	0.980684	0.998761	1	1.55e-05	0.00124	0.999984
pepT	K01258	3.4.11.4	NA	pepT; tripeptide aminopeptidase [EC:3.4.11.4]	Metallo peptidases_Family M20;M20	148.9	0.998561	0.997946	1	2.52e-07	0.002054	0.999999
pip	K01259	3.4.11.5   	NA	pip; proline iminopeptidase [EC:3.4.11.5]   	Serine peptidases_Family S33;S33	157	0.933652	0.94413	1	2.24e-05	0.05587	0.999962
pepP	K01262	3.4.11.9	NA	pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]	Metallo peptidases_Family M24;M24	204.3	0.865309	0.917191	1	0.000122	0.08281	0.999829
map	K01265	3.4.11.18	NA	map; methionyl aminopeptidase [EC:3.4.11.18]	Metallo peptidases_Family M24;M24	140.3	0.99609	0.9937	1	1.26e-06	0.0063	0.999993
dmpA	K01266	3.4.11.19	NA	dmpA, dap; D-aminopeptidase [EC:3.4.11.19]	Mixed peptidases_Family P1: DmpA aminopeptidase family;P1	21.3	0.984738	0.98018	1	1.01e-06	0.0198	1
pepD_M20	K01270	3.4.13.-	NA	pepD; dipeptidase D [EC:3.4.13.-]	Metallo peptidases_Family M20;M20	225.8	0.99309	0.987777	1	2.52e-07	0.012223	0.999998
pepD_S1	K08372	3.4.21.-	NA	pepD; putative serine protease PepD [EC:3.4.21.-]	Serine peptidases_Family S1: chymotrypsin family;S1	392.9	0.92683	0.87692	1	1.39e-06	0.12308	0.99999
pepQ	K01271	3.4.13.9	NA	pepQ; Xaa-Pro dipeptidase [EC:3.4.13.9]	Metallo peptidases_Family M24;M24	280.7	0.648463	0.941372	1	0.000182	0.05863	0.999807
pepX	K01281	3.4.14.11   	NA	pepX; X-Pro dipeptidyl-peptidase [EC:3.4.14.11]   	Serine peptidases_Family S15;S15	180.4	1	1	1	0	0	1
dcp	K01284	3.4.15.5	NA	dcp; peptidyl-dipeptidase Dcp [EC:3.4.15.5]	Metallo peptidases_Family M3;M3	726	0.989443	0.979813	1	1.26e-07	0.020187	0.999996
cpg	K01295	3.4.17.11	NA	cpg; glutamate carboxypeptidase [EC:3.4.17.11]	Metallo peptidases_Family M20;M20	233.2	0.99837	0.99675	1	0	0.00325	1
ldcA	K01297	3.4.17.13   	NA	ldcA; muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]   	Serine peptidases_Family S66;S66	34.7	1	1	1	0	0	1
E3.4.17.19	K01299	3.4.17.19	NA	E3.4.17.19; carboxypeptidase Taq [EC:3.4.17.19]	Metallo peptidases_Family M32: carboxypeptidase Taq family;M32	70.9	0.99961	1	1	1.26e-07	0	1
pcp	K01304	3.4.19.3	NA	pcp; pyroglutamyl-peptidase [EC:3.4.19.3]	Cysteine peptidases_Family C15: pyroglutamyl peptidase I family;C15	29.1	1	1	1	0	0	1
iadA	K01305	3.4.19.-	NA	iadA; beta-aspartyl-dipeptidase (metallo-type) [EC:3.4.19.-]	Metallo peptidases_Family M38: beta-aspartyl dipeptidase family;M38	153.2	0.999	0.99743	1	0	0.00257	1
yqgT	K01308	3.4.19.11	NA	yqgT; g-D-glutamyl-meso-diaminopimelate peptidase [EC:3.4.19.11]	Metallo peptidases_Family M14: carboxypeptidase A family;M14	151	0.998	0.99567	1	0	0.00433	1
sspA	K01318	3.4.21.19	NA	sspA; glutamyl endopeptidase [EC:3.4.21.19]	Serine peptidases_Family S1: chymotrypsin family;S1	189.5	0.992	0.984	1	0	0.016	1
E3.4.21.50	K01337	3.4.21.50	NA	E3.4.21.50; lysyl endopeptidase [EC:3.4.21.50]	Serine peptidases_Family S1: chymotrypsin family;S1	366.1	1	1	1	0	0	1
lon	K01338	3.4.21.53	NA	ATP-dependent Lon protease [EC:3.4.21.53]	Serine peptidases_Family S16: lon protease family;S16	216.6	0.944476	0.895765	1	6.3e-07	0.10423	0.99994
iga_hap	K01347	3.4.21.72   	NA	iga; IgA-specific serine endopeptidase [EC:3.4.21.72]   	Serine peptidases_Family S6;S6	714.4	0.9	0.83333	1	2.52e-07	0.16667	1
iga_zmpA	K01390	3.4.24.13	NA	iga; IgA-specific metalloendopeptidase [EC:3.4.24.13]	Metallo peptidases_Family M26;M26	2408.2	1	1	1	0	0	1
ptrB	K01354	3.4.21.83	NA	ptrB; oligopeptidase B [EC:3.4.21.83]	Serine peptidases_Family S9: prolyl oligopeptidase family;S9	506	0.990616	0.981406	1	0	0.018594	0.999996
clpP	K01358	3.4.21.92  	NA	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]  	Serine peptidases_Family S14: ClpP endopeptidase family;S14	60.9	0.999609	0.999218	1	0	0.000782	0.999999
ptrA	K01407	3.4.24.55	NA	ptrA; protease III [EC:3.4.24.55]	Metallo peptidases_Family M16: pitrilysin family;M16	730	1	1	1	0	0	1
prlC	K01414	3.4.24.70	NA	prlC; oligopeptidase A [EC:3.4.24.70]	Metallo peptidases_Family M3;M3	800.6	0.969292	0.942245	1	3.78e-07	0.057755	0.999988
hslV	K01419	3.4.25.2	NA	hslV, clpQ; ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]	Threonine peptidases_Family T1: proteasome family;T1	83.6	0.999448	0.998897	1	0	0.001103	1
bepA	K01423	3.4.-.-   	NA	bepA; beta-barrel assembly-enhancing protease [EC:3.4.-.-]   	Metallo peptidases_Family M48: Ste24 endopeptidase family;M48	136.7	0.966196	0.941495	1	1.89e-06	0.058505	0.999983
cpaA	K02278	3.4.23.43	NA	cpaA, tadV; prepilin peptidase CpaA [EC:3.4.23.43]	Aspartic peptidases_Family A24: type IV prepilin peptidase family;A24	81.7	0.919873	0.903111	1	8.56e-06	0.096889	0.999978
hofD	K02506	3.4.23.43	NA	hofD, hopD; leader peptidase HopD [EC:3.4.23.43]	Aspartic peptidases_Family A24: type IV prepilin peptidase family;A24	173.1	0.844	0.72996	1	0	0.27	1
pilD	K02654	3.4.23.43;2.1.1.-	NA	pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	Aspartic peptidases_Family A24: type IV prepilin peptidase family;A24	65.9	0.783487	0.910626	1	0.000127	0.089374	0.999846
lepB	K03100	3.4.21.89	NA	lepB; signal peptidase I [EC:3.4.21.89]	Serine peptidases_Family S26: signal peptidase I family;S26	63.5	0.994064	0.98938	1	1.01e-06	0.010619	0.99999
lspA	K03101	3.4.23.36	NA	lspA; signal peptidase II [EC:3.4.23.36]	Aspartic peptidases_Family A8: signal peptidase II family;A8	23.6	0.99979	1	1	2.52e-07	0	1
psmA	K03432	3.4.25.1	NA	psmA, prcA; proteasome alpha subunit [EC:3.4.25.1]	Threonine peptidases_Family T1: proteasome family;T1	129.6	0.990506	0.98894	1	6.3e-07	0.01106	1
psmB	K03433	3.4.25.1	NA	psmB, prcB; proteasome beta subunit [EC:3.4.25.1]	Threonine peptidases_Family T1: proteasome family;T1	118.8	0.988704	0.992	1	1.39e-06	0.008	1
hyaD	K03605	3.4.23.-	NA	hyaD, hybD; hydrogenase maturation protease [EC:3.4.23.-]	Aspartic peptidases_Family A31: HybD endopeptidase family;A31	100.8	0.945749	0.935897	1	6.8e-06	0.0641	0.999983
prc	K03797	3.4.21.102	NA	E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]	Serine peptidases_Family S41: C-terminal processing peptidase family;S41	103.4	0.994734	0.99156	1	1.26e-06	0.00844	0.999994
hflB	K03798	3.4.24.-	NA	ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]	Metallo peptidases_Family M41: FtsH endopeptidase family;M41	637.4	0.983343	0.973433	1	4.41e-06	0.026567	0.999977
lonB	K04076	3.4.21.53	NA	ATP-dependent Lon protease [EC:3.4.21.53]	Serine peptidases_Family S16: lon protease family;S16	549	0.959385	0.92194	1	0	0.07806	1
hhoB	K04691	3.4.21.-	NA	hhoB, degS; serine protease DegS [EC:3.4.21.-]	Serine peptidases_Family S1: chymotrypsin family;S1	439.2	0.779035	0.8175	1	2.83e-05	0.1825	0.999953
lonH	K04770	3.4.21.-	NA	Lon-like ATP-dependent protease [EC:3.4.21.-]	Serine peptidases_Family S16: lon protease family;S16	429.9	0.996212	0.99245	1	0	0.00755	1
degP	K04771	3.4.21.107	NA	degP, htrA; serine protease Do [EC:3.4.21.107]	Serine peptidases_Family S1: chymotrypsin family;S1	353	0.827888	0.901521	1	0.000135	0.098479	0.999817
degQ	K04772	3.4.21.-	NA	degQ, hhoA; serine protease DegQ [EC:3.4.21.-]	Serine peptidases_Family S1: chymotrypsin family;S1	510.7	0.72446	0.88302	1	5.55e-05	0.11698	0.9999
sppA	K04773	3.4.21.-	NA	sppA; protease IV [EC:3.4.21.-]	Serine peptidases_Family S49: protease IV family;S49	188.9	0.990622	0.987639	1	2.52e-06	0.012361	0.999993
sohB	K04774	3.4.21.- 	NA	sohB; serine protease SohB [EC:3.4.21.-] 	Serine peptidases_Family S49: protease IV family;S49	261.9	0.997356	0.99473	1	0	0.00527	0.999999
ydgD	K04775	3.4.21.-	NA	ydgD; protease YdgD [EC:3.4.21.-]	Serine peptidases_Family S1: chymotrypsin family;S1	99.3	0.99749	0.99499	1	0	0.00501	1
pfpI	K05520	3.5.1.124	NA	pfpI; protease I [EC:3.5.1.124]	Cysteine peptidases_Family C56: PfpI endopeptidase family;C56	140.7	0.983178	0.973419	1	2.52e-06	0.02658	0.999988
E3.4.11.10	K05994	3.4.11.10	NA	E3.4.11.10; bacterial leucyl aminopeptidase [EC:3.4.11.10]	Metallo peptidases_Family M28: aminopeptidase Y family;M28	160.7	0.992	0.98913	1	1.26e-07	0.01087	1
pepE	K05995	3.4.13.21	NA	pepE; dipeptidase E [EC:3.4.13.21]	Serine peptidases_Family S51;S51	89.4	0.99033	0.98184	1	1.26e-07	0.01816	0.999998
cpt	K05996	3.4.17.18	NA	cpt; carboxypeptidase T [EC:3.4.17.18]	Metallo peptidases_Family M14: carboxypeptidase A family;M14	130.4	0.989	0.9891	1	1.26e-07	0.0109	1
gpr	K06012	3.4.24.78	NA	gpr; spore protease [EC:3.4.24.78]	Aspartic peptidases_Family A25: gpr protease family;A25	156.4	1	1	1	0	0	1
spoIIGA	K06383	3.4.23.-	NA	spoIIGA; stage II sporulation protein GA (sporulation sigma-E factor processing peptidase) [EC:3.4.23.-]	Aspartic peptidases_Family A36;A36	91.4	1	1	1	0	0	1
preP	K06972	3.4.24.-	NA	PITRM1, PreP, CYM1; presequence protease [EC:3.4.24.-]	Metallo peptidases_Family M16: pitrilysin family;M16	364.2	0.997921	0.99585	1	0	0.00415	1
dacC	K07258	3.4.16.4	NA	dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	Serine peptidases_Family S11: D-Ala-D-Ala carboxypeptidase A family;S11	218.5	0.903559	0.965936	1	0.00012	0.034064	0.999857
dacB	K07259	3.4.16.4;3.4.21.-   	NA	dacB; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]   	Serine peptidases_Family S13: D-Ala-D-Ala peptidase C family;S13	81.4	0.99896	0.999168	1	3.78e-07	0.000832	0.999999
vanY	K07260	3.4.17.14	NA	vanY; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	Metallo peptidases_Family M15: zinc D-Ala-D-Ala carboxypeptidase family;M15	53.4	0.972112	0.995918	1	8.19e-06	0.00408	0.999991
mepA	K07261	3.4.24.-   	NA	mepA; penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-]   	Metallo peptidases_Family M74;M74	41.4	1	1	1	0	0	1
pbpG	K07262	3.4.21.-   	NA	pbpG; serine-type D-Ala-D-Ala endopeptidase (penicillin-binding protein 7) [EC:3.4.21.-]   	Serine peptidases_Family S11: D-Ala-D-Ala carboxypeptidase A family;S11	207.3	0.997761	0.996422	1	1.26e-07	0.003578	0.999999
pqqL	K07263	3.4.24.-	NA	pqqL; zinc protease [EC:3.4.24.-]	Metallo peptidases_Family M16: pitrilysin family;M16	215.8	0.957767	0.927568	1	3.27e-06	0.07243	0.999971
pepO	K07386	3.4.24.-	NA	pepO; putative endopeptidase [EC:3.4.24.-]	Metallo peptidases_Family M13: neprilysin family;M13	74.1	0.985165	1	1	6.8e-06	0	0.999993
loiP	K07387	3.4.24.-	NA	metalloprotease [EC:3.4.24.-]	Metallo peptidases_Family M48: Ste24 endopeptidase family;M48	124.4	0.999328	0.99866	1	0	0.00134	1
pepB	K07751	3.4.11.23	NA	pepB; PepB aminopeptidase [EC:3.4.11.23]	Metallo peptidases_Family M17: leucyl aminopeptidase family;M17	362.7	0.997523	0.99506	1	0	0.00494	1
flaK	K07991	3.4.23.52	NA	flaK; archaeal preflagellin peptidase FlaK [EC:3.4.23.52]	Aspartic peptidases_Family A24: type IV prepilin peptidase family;A24	56.8	0.967	0.9392	1	1.26e-07	0.0608	1
prtC_M10	K01406	3.4.24.40	NA	serralysin [EC:3.4.24.40]	Metallo peptidases_Family M10;M10	181.6	0.974	0.98885	1	1.38e-06	0.01115	1
prtC_U32	K08303	3.4.-.-	NA	prtC, trhP; U32 family peptidase [EC:3.4.-.-]	Peptidases of unknown catalytic type_Family U32;U32	54.5	0.947241	0.996538	1	5.87e-05	0.00346	0.999939
hycI	K08315	3.4.23.51	NA	hycI; hydrogenase 3 maturation protease [EC:3.4.23.51]	Aspartic peptidases_Family A31: HybD endopeptidase family;A31	107	0.991071	0.982	1	0	0.0177	1
ypdF	K08326	3.4.11.-	NA	ypdF; aminopeptidase [EC:3.4.11.-]	Metallo peptidases_Family M24;M24	470.4	0.98	0.96	1	0	0.04	1
pgtE	K08477	3.4.21.-	NA	pgtE; outer membrane protease E [EC:3.4.21.-]	Aspartic peptidases_Family A26: omptin family;A26	559.6	0.991	0.981	1	0	0.0185	1
tpr	K08586	3.4.22.-	NA	tpr; thiol protease [EC:3.4.22.-]	Cysteine peptidases_Family C2: calpain family;C2	924.2	1	1	1	0	0	1
yopJ	K08598	NA	NA	yopJ; YopJ protease family   	Cysteine peptidases_Family C55: YopJ protease family;C55	44.1	0.995	1	1	1.26e-07	0	1
yopT	K08599	3.4.22.-	NA	yopT; YopT peptidase [EC:3.4.22.-]	Cysteine peptidases_Family C58;C58	279.1	0.921	0.8529	1	0	0.1471	1
