microtrait_hmm-name	microtrait_hmm-dbxref_kegg	microtrait_hmm-dbxref_ec	microtrait_hmm-dbxref_TC	microtrait_hmm-description	microtrait_hmm-notes
E3.4.17.19	K01299	3.4.17.19		E3.4.17.19; carboxypeptidase Taq [EC:3.4.17.19]	Metallo peptidases_Family M32: carboxypeptidase Taq family;M32
E3.4.21.121	K20755	3.4.21.121		E3.4.21.121; Lys-Lys/Arg-Xaa endopeptidase [EC:3.4.21.121]	Serine peptidases_Family S8: subtilisin family;S8
E3.4.21.50	K01337	3.4.21.50		E3.4.21.50; lysyl endopeptidase [EC:3.4.21.50]	Serine peptidases_Family S1: chymotrypsin family;S1
E3.4.24.32	K20749	3.4.24.32		E3.4.24.32; beta-lytic metalloendopeptidase [EC:3.4.24.32]	Metallo peptidases_Family M23;M23
E3.4.24.33	K23743	3.4.24.33   		E3.4.24.33; peptidyl-Asp metalloendopeptidase [EC:3.4.24.33]   	Metallo peptidases_Family M72;M72
eamA	K15268		2.A.7.3.2_P31125	O-acetylserine/cysteine efflux transporter	
eamB	K11249		2.A.76.1.4_P38101	cysteine/O-acetylserine efflux protein	
ebr	K18975		2.A.7.1.11	small multidrug resistance pump	
ebrA	K11814		2.A.7.1.6	multidrug resistance protein EbrA	
ebrB	K11815		2.A.7.1.6	multidrug resistance protein EbrB	
ecfA1	K16786	3.6.3.-	3.A.1.25.5_Q9X1Z1;3.A.1.25.6_Q5M243;3.A.1.26.10_Q839D5	energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	
ecfA2	K16787	7.-.-.-		energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]	
ecfT	K16785		3.A.1.29.1_Q74I61;3.A.1.25.5_Q9X2I1;3.A.1.25.6_Q5M245;3.A.1.26.10_I7BV49;3.A.1.32.1_Q9KXJ7;3.A.1.32.2_Q2NFA7;3.A.1.32.3_A9WJX6;3.A.1.33.1_Q8R9L9	energy-coupling factor transport system permease protein	
echA	K14086			ech hydrogenase subunit A	
echB	K14087			ech hydrogenase subunit B	
echC	K14088			ech hydrogenase subunit C	
echD	K14089			ech hydrogenase subunit D	
echE	K14090			ech hydrogenase subunit E	
echF	K14091			ech hydrogenase subunit F	
eda	K01625	4.1.2.1		eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.1 	
edd	K01690	4.2.1.12		edd; phosphogluconate dehydratase [EC:4.2.1.12] 	
eexD	K16299		3.A.1.110.13_O67184;3.A.1.110.10	ATP-binding cassette, subfamily C, bacterial EexD	
efeB	K16301	1.11.1.-	2.A.108.2.3	deferrochelatase/peroxidase EfeB [EC:1.11.1.-]	
efeO	K07224		2.A.108.2.3	iron uptake system component EfeO	
emrK	K03543		2.A.1.3.36_C5W790	membrane fusion protein, multidrug efflux system	
emrY	K03446		2.A.1.3.20_Q9RQ29;2.A.1.3.36_C5W789	MFS transporter, DHA2 family, multidrug resistance protein	
eno	K01689	4.2.1.11		ENO, eno; enolase [EC:4.2.1.11] 	
entS	K08225		2.A.1.38.1_P24077	MFS transporter, ENTS family, enterobactin (siderophore) exporter	
envZ	K07638	2.7.13.3		two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]	
epi	K05606	5.1.99.1		methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1] 	
epr	K13277	3.4.21.-		epr; minor extracellular protease Epr [EC:3.4.21.-]	Serine peptidases_Family S8: subtilisin family;S8
epsE	K16712		2.A.66.2.11_Q45411	EPS I polysaccharide export inner membrane protein EpsE	
epsF	K16713			EPS I polysaccharide export inner membrane protein EpsF	
erfK	K16291			erfK; L,D-transpeptidase ErfK/SrfK	Cysteine peptidases_Family C82;C82
eryE	K17204		3.A.1.2.11_Q92WK2;3.A.1.2.16_Q1M4Q7	erythritol transport system ATP-binding protein	
eryF	K17203		3.A.1.2.11_Q92WK1;3.A.1.2.16_Q1M4Q8	erythritol transport system permease protein	
eryG	K17202		3.A.1.2.11_Q92WK4;3.A.1.2.16_Q1M4Q9	erythritol transport system substrate-binding protein	
eutK	K04025			ethanolamine utilization protein EutK	
eutL	K04026			ethanolamine utilization protein EutL	
eutM	K04027			ethanolamine utilization protein EutM	
eutN	K04028			ethanolamine utilization protein EutN	
eutS	K04031			ethanolamine utilization protein EutS	
evgA	K07690			two-component system, NarL family, response regulator EvgA	
evgS	K07679	2.7.13.3		"	two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]"	
exaA	K00114	1.1.2.8		exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8] 	
exbB	K03561		1.A.30.2.1	biopolymer transport protein ExbB	
exbD	K03559		1.A.30.2.1	biopolymer transport protein ExbD	
exoF	K16552		1.B.18.1.1_Q02728	exopolysaccharide production protein ExoF	
exoY	K16566			exopolysaccharide production protein ExoY	
exoT	K16553		2.A.66.2.2	succinoglycan exporter	
fadB	K01825	1.1.1.35;4.2.1.17;5.1.2.3;5.3.3.8		3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]	
fadJ	K01782	1.1.1.35;4.2.1.17;5.1.2.3		3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]	
fadL	K06076	1.B.9		long-chain fatty acid transport protein	
fadN	K07516	1.1.1.35		3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	
fae	K10713	4.2.1.147		5,6,7,8-tetrahydromethanopterin hydro-lyase [EC:4.2.1.147] 	
fae-hps	K13812	4.2.1.147;4.1.2.43		bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43] 	
fba_2	K16305	4.1.2.13;2.2.1.11		fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]	
fba_3	K16306	4.1.2.13;2.2.1.10		fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]	
fbcH	K00410			ubiquinol-cytochrome c reductase cytochrome b/c1 subunit	
fbiC	K11779	2.5.1.147;4.3.1.32		FO synthase [EC:2.5.1.147 4.3.1.32] 	
fbpap	K01622	4.1.2.13;3.1.3.11		K01622; fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11] 	
fbpI	K03841	3.1.3.11		fructose-1,6-bisphosphatase I [EC:3.1.3.11] 	
fbpI-sebp	K01086	3.1.3.11;3.1.3.37		fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37] 	
fbpII	K02446	3.1.3.11		fructose-1,6-bisphosphatase II [EC:3.1.3.11] 	
fbpII-sebp	K11532	3.1.3.11;3.1.3.37		glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37] 	
fbpIII	K04041	3.1.3.11		fructose-1,6-bisphosphatase III [EC:3.1.3.11] 	
fccA	K17230			cytochrome subunit of sulfide dehydrogenase 	
fccB	K17229	1.8.2.3		sulfide dehydrogenase [flavocytochrome c] flavoprotein chain [EC:1.8.2.3] 	
fchA	K01500	3.5.4.9		methenyltetrahydrofolate cyclohydrolase [EC:3.5.4.9]	
fdh	K00122	1.17.1.9		formate dehydrogenase [EC:1.17.1.9] 	
fdh.NADP+A	K05299	1.17.1.10		formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10] 	
fdh.NADP+B	K15022	1.17.1.10		formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10] 	
fdhA	K00148	1.2.1.46		glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46] 	
fdhAF420	K22516	1.17.98.3;1.8.98.6		formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6] 	
fdhBF420	K00125	1.17.98.3;1.8.98.6		formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] 	
fdhC	K21993		1.A.16.2	formate transporter	
fdhF	K00123	1.17.1.9		formate dehydrogenase major subunit [EC:1.17.1.9] 	
fdhH	K00124			formate dehydrogenase iron-sulfur subunit 	
fdoI	K00127			formate dehydrogenase subunit gamma 	
fdsD	K00126	1.17.1.9		formate dehydrogenase subunit delta [EC:1.17.1.9] 	
fdwB	K22515	1.17.1.9		formate dehydrogenase beta subunit [EC:1.17.1.9] 	
fecA	K16091		1.B.14.1.12_Q9HXB2;1.B.14.1.20_P13036	Fe(3+) dicitrate transport protein	
fecB	K23181		3.A.1.14.1;3.A.1.14.8	ferric citrate transport system substrate-binding protein	
fecC	K23183		3.A.1.14.1;3.A.1.14.8	ferric citrate transport system permease protein	
fecD	K23182		3.A.1.14.1;3.A.1.14.8	ferric citrate transport system permease protein	
fecE	K23184	7.2.2.18	3.A.1.14.1;3.A.1.14.8	ferric citrate transport system ATP-binding protein [EC:7.2.2.18]	
feoA	K04758			ferrous iron transport protein A	
feoB	K04759			ferrous iron transport protein B	
fepA	K19611		1.B.14.1.22_P05825;1.B.14.1.3_O54507;1.B.14.1.5_Q05098	ferric enterobactin receptor	
fepB	K23185		3.A.1.14.2;3.A.1.14.6	ferric enterobactin transport system substrate-binding protein	
fepC	K23188		3.A.1.14.2;3.A.1.14.6	ferric enterobactin transport system ATP-binding protein	
fepD	K23186		3.A.1.14.2;3.A.1.14.6	ferric enterobactin transport system permease protein	
fepG	K23187		3.A.1.14.2;3.A.1.14.6	ferric enterobactin transport system permease protein	
fevA	K02013	3.6.3.34	3.A.1.13.2_A9WCZ7;3.A.1.14.13_Q9RK11;3.A.1.14.14_Q9A197;3.A.1.14.1_P15031;3.A.1.14.2_P23878;3.A.1.14.3_P07821;3.A.1.14.4_Q47087;3.A.1.14.6_Q9RCF3;3.A.1.14.7_Q9X665;3.A.1.14.8_Q8GRB0	iron complex transport system ATP-binding protein [EC:3.6.3.34]	
fevP	K02015		3.A.1.13.2_A9WCZ6;3.A.1.14.13_Q9RK09;3.A.1.14.13_Q9RK10;3.A.1.14.14_Q06A41;3.A.1.14.14_Q9A199;3.A.1.14.15_P40410;3.A.1.14.15_P40411;3.A.1.14.1_P15029;3.A.1.14.1_P15030;3.A.1.14.2_P23876;3.A.1.14.2_P23877;3.A.1.14.3_P06972;3.A.1.14.4_Q47085;3.A.1.14.4_Q47086;3.A.1.14.6_Q9RCF4;3.A.1.14.6_Q9RCF5;3.A.1.14.7_Q9X664;3.A.1.14.8_Q8GRB1;3.A.1.14.8_Q8GRB2	iron complex transport system permease protein	
fevS	K02016		3.A.1.13.2_A9WCZ4;3.A.1.14.13_Q9RK12;3.A.1.14.14_Q9A198;3.A.1.14.15_P40409;3.A.1.14.1_P15028;3.A.1.14.2_C8U2V6;3.A.1.14.3_P07822;3.A.1.14.4_Q47084;3.A.1.14.6_Q9RCF6;3.A.1.14.7_Q93PN3;3.A.1.14.7_Q99RY8;3.A.1.14.8_Q8GRB3	iron complex transport system substrate-binding protein	
fhuB	K23228		3.A.1.14.3;3.A.1.14.12	ferric hydroxamate transport system permease protein	
fhuC	K10829	3.6.3.34	3.A.1.14.3;3.A.1.14.12	iron-chelate-transporting ATPase [EC:3.6.3.34]	
fhuD	K23227		3.A.1.14.3;3.A.1.14.12	ferric hydroxamate transport system substrate-binding protein	
fieF	K13283		2.A.4.7.1	ferrous-iron efflux pump FieF	
fiu	K16090		1.B.14.1.9_P75780	catecholate siderophore receptor	
fixJ	K14987			two-component system, LuxR family, response regulator FixJ	
fixL	K14986	2.7.13.3		two-component system, LuxR family, sensor kinase FixL [EC:2.7.13.3]	
flaK	K07991	3.4.23.52		flaK; archaeal preflagellin peptidase FlaK [EC:3.4.23.52]	Aspartic peptidases_Family A24: type IV prepilin peptidase family;A24
flgA	K02386			flagella basal body P-ring formation protein FlgA	
flgB	K02387			flagellar basal-body rod protein FlgB	
flgC	K02388			flagellar basal-body rod protein FlgC	
flgD	K02389			flagellar basal-body rod modification protein FlgD	
flgE	K02390			flagellar hook protein FlgE	
flgF	K02391			flagellar basal-body rod protein FlgF	
flgG	K02392			flagellar basal-body rod protein FlgG	
flgH	K02393			flagellar L-ring protein precursor FlgH	
flgI	K02394			flagellar P-ring protein precursor FlgI	
flgK	K02396			flagellar hook-associated protein 1 FlgK	
flgL	K02397			flagellar hook-associated protein 3 FlgL	
flgM	K02398			negative regulator of flagellin synthesis FlgM	
flgN	K02399			flagella synthesis protein FlgN	
flhA	K02400			flagellar biosynthesis protein FlhA	
flhB	K02401			flagellar biosynthetic protein FlhB	
flhC	K02402			flagellar transcriptional activator FlhC	
flhD	K02403			flagellar transcriptional activator FlhD	
fliA	K02405			RNA polymerase sigma factor for flagellar operon FliA	
fliC	K02406			flagellin	
fliD	K02407			flagellar hook-associated protein 2	
fliE	K02408			flagellar hook-basal body complex protein FliE	
fliF	K02409			flagellar M-ring protein FliF	
fliG	K02410			flagellar motor switch protein FliG	
fliH	K02411			flagellar assembly protein FliH	
fliI	K02412	7.4.2.8		flagellum-specific ATP synthase [EC:7.4.2.8]	
fliJ	K02413			flagellar FliJ protein	
fliK	K02414			flagellar hook-length control protein FliK	
fliM	K02416			flagellar motor switch protein FliM	
fliN	K02417			flagellar motor switch protein FliN	
fliO	K02418			flagellar protein FliO/FliZ	
fliP	K02419			flagellar biosynthetic protein FliP	
fliQ	K02420			flagellar biosynthetic protein FliQ	
fliR	K02421			flagellar biosynthetic protein FliR	
fliRflhB	K13820			flagellar biosynthetic protein FliR/FlhB	
fliS	K02422			flagellar protein FliS	
fliT	K02423			flagellar protein FliT	
flqA	K16905		3.A.1	fluoroquinolone transport system permease protein	
flqB	K16906		3.A.1	fluoroquinolone transport system permease protein	
flqC	K16907	3.6.3.-	3.A.1	fluoroquinolone transport system ATP-binding protein [EC:3.6.3.-]	
fmoA	K08944			bacteriochlorophyll A protein	
fnr	K01420			CRP/FNR family transcriptional regulator, anaerobic regulatory protein	
focA	K06212		1.A.16.1.1_P0AC23;1.A.16.1.2_P77733;1.A.16.1.3_F9A868	formate transporter	
focB	K03459		1.A.16.1.2_P77733	formate transporter	
folD	K01491	1.5.1.5;3.5.4.9		methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	
fpoA	K22158	1.5.98.3		F420H2 dehydrogenase subunit A [EC:1.5.98.3]	
fpoB	K22159	1.5.98.3		F420H2 dehydrogenase subunit B [EC:1.5.98.3]	
fpoC	K22160	1.5.98.3		F420H2 dehydrogenase subunit C [EC:1.5.98.3]	
fpoD	K22161	1.5.98.3		F420H2 dehydrogenase subunit D [EC:1.5.98.3]	
fpoF	K22162	1.5.7.2;1.5.98.3		F420H2 dehydrogenase subunit F [EC:1.5.7.2 1.5.98.3]	
fpoH	K22163	1.5.98.3		F420H2 dehydrogenase subunit H [EC:1.5.98.3]	
fpoI	K22164	1.5.98.3		F420H2 dehydrogenase subunit I [EC:1.5.98.3]	
fpoJ	K22165	1.5.98.3		F420H2 dehydrogenase subunit J [EC:1.5.98.3]	
fpoK	K22166	1.5.98.3		F420H2 dehydrogenase subunit K [EC:1.5.98.3]	
fpoL	K22167	1.5.98.3		F420H2 dehydrogenase subunit L [EC:1.5.98.3]	
fpoM	K22168	1.5.98.3		F420H2 dehydrogenase subunit M [EC:1.5.98.3]	
fpoN	K22169	1.5.98.3		F420H2 dehydrogenase subunit N [EC:1.5.98.3]	
fpoO	K22170	1.5.98.3		F420H2 dehydrogenase subunit O [EC:1.5.98.3]	
fpvA	K16088		1.B.14.1.14_P25184;1.B.14.1.1_P16869	outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid	
fqoA	K22171	1.1.98.4		F420H2:quinone oxidoreductase subunit A [EC:1.1.98.4]	
fqoBC	K22172	1.1.98.4		F420H2:quinone oxidoreductase subunit B/C [EC:1.1.98.4]	
fqoD	K22173	1.1.98.4		F420H2:quinone oxidoreductase subunit D [EC:1.1.98.4]	
fqoF	K22174	1.1.98.4		F420H2:quinone oxidoreductase subunit F [EC:1.1.98.4]	
fqoH	K22175	1.1.98.4		F420H2:quinone oxidoreductase subunit H [EC:1.1.98.4]	
fqoI	K22176	1.1.98.4		F420H2:quinone oxidoreductase subunit I [EC:1.1.98.4]	
fqoJ	K22177	1.1.98.4		F420H2:quinone oxidoreductase subunit J [EC:1.1.98.4]	
fqoK	K22178	1.1.98.4		F420H2:quinone oxidoreductase subunit K [EC:1.1.98.4]	
fqoL	K22179	1.1.98.4		F420H2:quinone oxidoreductase subunit L [EC:1.1.98.4]	
fqoM	K22180	1.1.98.4		F420H2:quinone oxidoreductase subunit M [EC:1.1.98.4]	
fqoN	K22181	1.1.98.4		F420H2:quinone oxidoreductase subunit N [EC:1.1.98.4]	
frcA	K10554		3.A.1.2.7_Q9F9B0	fructose transport system ATP-binding protein	
frcB	K10552		3.A.1.2.7_Q9F9B2	fructose transport system substrate-binding protein	
frcC	K10553		3.A.1.2.7_Q9F9B1	fructose transport system permease protein	
frd.NADHA	K18556	1.3.1.6		NADH-dependent fumarate reductase subunit A [EC:1.3.1.6] 	
frd.NADHB	K18557	1.3.1.6		NADH-dependent fumarate reductase subunit B [EC:1.3.1.6] 	
frd.NADHC	K18558			NADH-dependent fumarate reductase subunit C 	
frd.NADHD	K18559			NADH-dependent fumarate reductase subunit D 	
frd.NADHE	K18560			NADH-dependent fumarate reductase subunit E 	
frdA	K00244	1.3.5.4		fumarate reductase flavoprotein subunit [EC:1.3.5.4] 	
frdB	K00245	1.3.5.4		fumarate reductase iron-sulfur subunit [EC:1.3.5.4] 	
frdC	K00246			fumarate reductase subunit C 	
frdD	K00247			fumarate reductase subunit D 	
frhA	K00440	1.12.98.1		coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1] 	
frhB	K00441	1.12.98.1		coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]	
frhD	K00442			coenzyme F420 hydrogenase subunit delta 	
frhG	K00443	1.12.98.1		coenzyme F420 hydrogenase subunit gamma [EC:1.12.98.1]	
frmA	K00121	1.1.1.284;1.1.1.1		S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	
frmB	K01070	3.1.2.12		S-formylglutathione hydrolase [EC:3.1.2.12] 	
fru1EIIA	K02768	2.7.1.69	4.A.2.1.14_D2RXA7;4.A.2.1.15_D4GYE4;4.A.2.1.20_Q3K0G6;4.A.2.1.21_F8Y3B4;4.A.2.1.22_Q3JZE3;4.A.2.1.23_T5HNP5;4.A.2.1.25_P32155;4.A.2.1.26_Q5V5X4;4.A.2.1.7_Q1LZ59;4.A.2.1.8_Q1LZ68;4.A.2.1.9_Q1R4S9	PTS system, fructose-specific IIA component [EC:2.7.1.69]	
fru1EIIB	K02769	2.7.1.69	4.A.2.1.14_D2RXA4;4.A.2.1.15_D4GYE1;4.A.2.1.22_Q3JZE2;4.A.2.1.26_Q5V5X1;4.A.2.1.7_Q1LZ59;4.A.2.1.9_Q8FC73	PTS system, fructose-specific IIB component [EC:2.7.1.69]	
fru1EIIC	K02770		4.A.2.1.13_Q0S1N2;4.A.2.1.14_D2RXA8;4.A.2.1.15_D4GYE5;4.A.2.1.16_Q9RMF5;4.A.2.1.17_Q9HY57;4.A.2.1.18_Q9RZP7;4.A.2.1.19_M7PF02;4.A.2.1.1_P20966;4.A.2.1.20_Q3K0G6;4.A.2.1.21_F8Y3B5;4.A.2.1.22_Q3JZE4;4.A.2.1.23_T5HN74;4.A.2.1.26_q5v5x5;4.A.2.1.4_P71012;4.A.2.1.6_O31645;4.A.2.1.7_Q1LZ59;4.A.2.1.8_Q8DWE7;4.A.2.1.9_Q1R4T1	PTS system, fructose-specific IIC component	
fru2EIIA	K11201	2.7.1.69	4.A.2.1.25_P32155	PTS system, fructose-specific IIA-like component [EC:2.7.1.69]	
fru2EIIB	K11202	2.7.1.69	4.A.2.1	PTS system, fructose-specific IIB-like component [EC:2.7.1.69]	
fru2EIIC	K11203		4.A.2.1.25_P32154	PTS system, fructose-specific IIC-like component	
fruB	K11183		4.A.1.1.15_Q9HXN5;4.A.2.1.17_Q9HY55;4.A.2.1.19_M7QAG8;4.A.2.1.1_P69811	phosphocarrier protein FPr	
fruK	K00882	2.7.1.56		1-phosphofructokinase [EC:2.7.1.56]	
frvX	K18530	3.4.11.-		frvX; putative aminopeptidase FrvX [EC:3.4.11.-]	Metallo peptidases_Family M42: glutamyl aminopeptidase family;M42
ftfL	K01938	6.3.4.3		formate--tetrahydrofolate ligase [EC:6.3.4.3]	
ftr	K00672	2.3.1.101		formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101] 	
ftrA	K07230		2.A.108.2.10;2.A.108.2.4;2.A.108.2.9	periplasmic iron binding protein	
fucA	K01628	4.1.2.17		L-fuculose-phosphate aldolase [EC:4.1.2.17]	
fucI	K01818	5.3.1.25;5.3.1.3		L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]	
fucK	K00879	2.7.1.51		L-fuculokinase [EC:2.7.1.51]	
fumalpha	K01677	4.2.1.2		fumarate hydratase subunit alpha [EC:4.2.1.2] 	
fumbeta	K01678	4.2.1.2		fumarate hydratase subunit beta [EC:4.2.1.2] 	
fumI	K01676	4.2.1.2		fumarate hydratase, class I [EC:4.2.1.2] 	
fumII	K01679	4.2.1.2		fumarate hydratase, class II [EC:4.2.1.2] 	
fur	K03711			Fur family transcriptional regulator, ferric uptake regulator	
fwdA	K00200	1.2.7.12		formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12] 	
fwdB	K00201	1.2.7.12		formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12] 	
fwdC	K00202	1.2.7.12		formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12] 	
fwdD	K00203	1.2.7.12		formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12] 	
fwdE	K11261	1.2.7.12		formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12] 	
fwdF	K00205			4Fe-4S ferredoxin 	
fwdG	K11260			4Fe-4S ferredoxin 	
fwdH	K00204			4Fe-4S ferredoxin 	
g6p	K01084	3.1.3.9		G6PC; glucose-6-phosphatase [EC:3.1.3.9] 	
gadAB	K01580	4.1.1.15		glutamate decarboxylase [EC:4.1.1.15]	
gadC	K20265		2.A.3.7.1;2.A.3.7.3	glutamate:GABA antiporter	
galE	K01784	5.1.3.2		UDP-glucose 4-epimerase [EC:5.1.3.2]	
galEIIA	K20112	2.7.1.204	4.A.5	PTS system, galactose-specific IIA component [EC:2.7.1.204]	
galEIIB	K20113	2.7.1.204	4.A.5	PTS system, galactose-specific IIB component [EC:2.7.1.204]	
galEIIC	K20114		4.A.5	PTS system, galactose-specific IIC component	
galK	K00849	2.7.1.6		galactokinase [EC:2.7.1.6]	
galM	K01785	5.1.3.3		aldose 1-epimerase [EC:5.1.3.3]	
galP	K08137		2.A.1.1.1_P0AEP1;2.A.1.1.2_P0AE24	MFS transporter, SP family, galactose:H+ symporter	
galT	K00965	2.7.7.12		UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	
gamEIIB	K10984	2.7.1.69	4.A.6.1.5_P42909	PTS system, galactosamine-specific IIB component [EC:2.7.1.69]	
gamEIIC	K10985		4.A.6.1.5_Q9KIP7	PTS system, galactosamine-specific IIC component	
gamEIID	K10986		4.A.6.1.5_P42911	PTS system, galactosamine-specific IID component	
ganO	K15770		3.A.1.1.16_P58300;3.A.1.1.26_O06989;3.A.1.1.27_Q8DT28;3.A.1.1.44_Q7AKP1	arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein	
ganP	K15771		3.A.1.1.16_Q8TZP9;3.A.1.1.26_O06990;3.A.1.1.27_Q8DT27;3.A.1.1.44_Q9KZ07;3.A.1.1.51_Q6MNM0	arabinogalactan oligomer / maltooligosaccharide transport system permease protein	
ganQ	K15772		3.A.1.1.16_Q8TZQ0;3.A.1.1.26_O06991;3.A.1.1.27_Q8DT26;3.A.1.1.44_Q9KZ08	arabinogalactan oligomer / maltooligosaccharide transport system permease protein	
gapA.NAD+	K00134	1.2.1.12		glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] 	
gapA.NADP+	K00150	1.2.1.59		glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59] 	
gapdhs	K10705	1.2.1.12		glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [EC:1.2.1.12]	
gapor	K11389	1.2.7.6		gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6] 	
gatEIIA	K02773	2.7.1.69	4.A.5.1.1_P69828;4.A.5.1.2_Q71WA4;4.A.5.1.4_Q8FCM6;4.A.5.1.5_D4GUP9;4.A.5.1.6_C9MZ76	PTS system, galactitol-specific IIA component [EC:2.7.1.69]	
gatEIIB	K02774	2.7.1.69	4.A.5.1.1_P37188;4.A.5.1.2_Q71WA5;4.A.5.1.4_Q8FCM5;4.A.5.1.5_D4GUQ1;4.A.5.1.6_C9MZ78	PTS system, galactitol-specific IIB component [EC:2.7.1.69]	
gatEIIC	K02775		4.A.5.1.1_P69831;4.A.5.1.2_Q71WA6;4.A.5.1.4_Q8FCM4;4.A.5.1.5_D4GUQ0;4.A.5.1.6_C9MZ79	PTS system, galactitol-specific IIC component	
gcd	K00117	1.1.5.2		gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2] 	
gck	K11529	2.7.1.165		glycerate 2-kinase [EC:2.7.1.165] 	
gdh2	K15371	1.4.1.2		glutamate dehydrogenase [EC:1.4.1.2]	
gdhA	K18124	1.1.1.360		gdh2, gdhA; glucose/galactose 1-dehydrogenase (NADP+) [EC:1.1.1.360] 	
gdhA_1	K00261	1.4.1.3		glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	
gdhA_2	K00262	1.4.1.4		glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	
gesB	K19594		2.A.6.2.25;2.A.6.2.34	gold/copper resistance efflux pump	
gfa	K03396	4.4.1.22		S-(hydroxymethyl)glutathione synthase [EC:4.4.1.22] 	
gfrEIIA	K19506	2.7.1.69	4.A.6.1.19_V7IHL6	PTS system, fructoselysine and glucoselysine-specific IIA component [EC:2.7.1.69]	
gfrEIIB	K19507	2.7.1.69	4.A.6.1.19_V7IFY8;4.A.6.1.23_C1A8G1	PTS system, fructoselysine and glucoselysine-specific IIB component [EC:2.7.1.69]	
gfrEIIC	K19508		4.A.6.1.19_V7RE14;4.A.6.1.22_T4NBW3;4.A.6.1.9_Q97N93	PTS system, fructoselysine and glucoselysine-specific IIC component	
gfrEIID	K19509		4.A.6.1.19_V7RGM6	PTS system, fructoselysine and glucoselysine-specific IID component	
ggt	K00681	2.3.2.2;3.4.19.13		ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	Threonine peptidases_Family T3: gamma-glutamyltransferase family;T3
gguA	K10548		3.A.1.2.22_Q8G3R0;3.A.1.2.5_O05176	putative multiple sugar transport system ATP-binding protein	
gguP	K10547		3.A.1.2.22_Q8G3Q9;3.A.1.2.5_O05177	putative multiple sugar transport system permease protein	
gguS	K10546		3.A.1.2.22_Q8G3R1;3.A.1.2.5_P25548	putative multiple sugar transport system substrate-binding protein	
GH1				glycoside hydrolase CAZy family 1	
GH10				glycoside hydrolase CAZy family 10	
GH11				glycoside hydrolase CAZy family 11	
GH110				glycoside hydrolase CAZy family 110	
