microtrait_rule-name	microtrait_rule-type	microtrait_rule-substrate	microtrait_trait-name1	microtrait_trait-name2	microtrait_trait-name3	microtrait_trait-version
pepA_M17	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pepN	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pepT	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pip	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pepA_M42	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pepP	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
map	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
dmpA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pepD_M20	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pepD_S1	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pepQ	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pepX	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
dcp	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
cpg	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ldcA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
E3.4.17.19	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pcp	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
iadA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
yqgT	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
sspA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
E3.4.21.50	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
lon	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
iga_hap	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ptrB	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
clpP	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
iga_zmpA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ptrA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
prlC	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
hslV	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
bepA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
cpaA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
hofD	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pilD	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
lepB	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
lspA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
psmA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
psmB	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
hyaD	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
prc	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
hflB	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
lonB	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
hhoB	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
lonH	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
degP	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
degQ	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
sppA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
sohB	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ydgD	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pfpI	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
E3.4.11.10	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pepE	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
cpt	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
gpr	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
spoIIGA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
preP	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
dacC	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
dacB	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
vanY	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
mepA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pbpG	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pqqL	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pepO	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
loiP	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pepB	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
flaK	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
prtC_M10	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
prtC_U32	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
hycI	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ypdF	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pgtE	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
tpr	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
yopJ	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
yopT	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pepF	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
E3.4.17.14	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
vanX	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
lasA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
zmpB_M26	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
zmpB_M4	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
lef	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
scpA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pepDA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
tri	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
nprB	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
mtfA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
rseP	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
cps	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
iaaA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
wprA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
isp	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
bpr	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
epr	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
sipW	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
avrRpt2	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
avrPphB	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
icsP	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
mepS	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
trf2_3	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
aprE1	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
aprE2	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
vpr	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
dppA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
erfK	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
yydH	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
cwlK	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
aprX	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
frvX	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
sprE	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ptpA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
vanXY	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ampH	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
cwlS	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
lytF	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
lytE	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
gluP	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ynhG	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ybiS	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ycfS	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
mepH	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
mepM	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
mpl	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ampS	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ywaD	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
E3.4.11.24	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
zmp1	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
alpha-LP	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
zmpA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
nisP	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
tet	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
sgcX	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ykfC	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
E3.4.24.32	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
bapA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
E3.4.21.121	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
impA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
pbp4b	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ycbB	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
cwlO	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
lytH	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ripA	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
ripB	count	NA	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	production
